I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0038454533,-0.025267601,-0.030132294,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.004370451,-0.014436722,-0.038211346,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0043735504,-0.014436722,-0.027688265,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.029122591,-0.014451742,-0.05043435,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.029114723,-0.014436722,-0.049959183,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.041499138,-0.01443696,-0.050507545,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.06574273,-0.002060175,-0.05058694,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.06751156,0.022691965,-0.04996562,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.088835,0.05086398,-0.038004637,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.1159668,0.08156109,-0.0382092,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.13750768,0.09719658,-0.02777195,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.16061437,0.12136078,-0.035426855,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.17755353,0.123559,-0.038208723,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.18182933,0.14612758,-0.038211584,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.17525816,0.15136194,-0.038065672,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.16478181,0.14750588,-0.025442362,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.15260506,0.13962007,-0.017194986,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.12885451,0.1277889,-0.013412237,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.10337353,0.10916567,-0.009516954,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.07862353,0.08430457,-0.012180567,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.054828882,0.05794096,-0.01751256,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.058470964,0.0349133,-0.035704613,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.054138184,0.024248362,-0.038369656,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.041499138,0.022601843,-0.038211346,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.02912283,0.010315657,-0.025843143,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0074300766,-0.0020604134,-0.013657808,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.006512165,-0.014433384,-0.01309824,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.012629986,-0.01443696,-0.011780024,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.020397186,-0.026728392,-0.011986494,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.022543669,-0.036215782,-0.024865627,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.012358427,-0.039204836,-0.025830984,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0054614544,-0.026855946,-0.025851727,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0032327175,-0.01467967,-0.025571823,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0021789074,-0.014436722,-0.0192554,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.008715868,-0.014485836,-0.012735128,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0104243755,-0.026811123,-0.016599894,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.00711298,-0.029142141,-0.025847912,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0044236183,-0.0391891,-0.050020695,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.00458622,-0.043308258,-0.050394535,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.009684563,-0.03800583,-0.05034256,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.016759157,-0.026681423,-0.031284094,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.017332792,-0.014435053,-0.03813386,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.01658225,-0.014306784,-0.037032366,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.004390478,-0.014746666,-0.038014412,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0080087185,-0.02681303,-0.025880814,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.020365715,-0.0391891,-0.023594141,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.020034075,-0.039194584,-0.013562202,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.020381927,-0.039346218,-0.013137817,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.018338919,-0.016807318,-0.01012373,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.007995844,-0.014436722,-0.014769793,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.010657787,-0.009210825,-0.018577814,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.020382404,-0.033321142,-0.023460388,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.021336079,-0.039197206,-0.012921572,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.022018671,-0.02681303,-0.006299734,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.032770872,-0.0391891,-0.002840042,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.03278804,-0.051543236,-0.010273933,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.008028984,-0.039105654,-0.0155181885,nan,nan,nan,nan,nan,nan,nan,nan,nan
