I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.057609797,-0.044077635,0.0145897865,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.04574895,-0.033070803,0.01575923,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.03312421,-0.020668983,0.014055967,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.02068615,0.004356146,0.03099513,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0046846867,0.041977167,0.056245327,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.001962185,0.066969395,0.081143856,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.01691103,0.09213567,0.0936749,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.030548811,0.12972486,0.106898546,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.055280447,0.15797949,0.11454368,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.057463408,0.17968893,0.115887165,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.059708357,0.1738385,0.11491418,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.05534339,0.15367508,0.1056869,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.054335594,0.13239956,0.081311464,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.051043272,0.09716225,0.055907488,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.01970601,0.0546062,0.021171808,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.01654458,0.016983747,-0.00018429756,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.009788752,-0.008175135,-0.011476755,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.02383256,-0.045768976,-0.031885862,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.025741339,-0.05953288,-0.038299322,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.03434801,-0.07110262,-0.03403449,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.038898706,-0.069579124,-0.026468992,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.036326647,-0.063975096,-0.0222857,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.038342953,-0.06614947,-0.019453049,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.036642075,-0.05385685,-0.014546394,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.033561945,-0.052649975,-0.007105589,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.034249783,-0.04880953,-0.010024786,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.036242247,-0.05088806,-0.010032415,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.031633854,-0.0489645,-0.006458521,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.027394533,-0.047531605,-0.009653568,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.021138906,-0.042193174,-0.019135714,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0131418705,-0.039461136,-0.02153635,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.007081747,-0.039723396,-0.031546593,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.014250994,-0.047881603,-0.032590628,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.026079893,-0.06519818,-0.04330516,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.039330244,-0.07269573,-0.037566423,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.03963256,-0.071578026,-0.03163576,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.04393816,-0.07391238,-0.025036097,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.047341347,-0.07745433,-0.026321411,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.046009302,-0.074058056,-0.025170565,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0333755,-0.07234168,-0.03184533,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.03399253,-0.07760048,-0.038771868,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.046599388,-0.09553909,-0.042200565,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.052678823,-0.104931355,-0.039184093,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0505085,-0.09746051,-0.04380274,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.05227661,-0.09815097,-0.038434505,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.06337476,-0.09955549,-0.031852007,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.074240446,-0.096196175,-0.02659154,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07346344,-0.095072985,-0.020981073,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.06348014,-0.08482623,-0.017020464,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.045108557,-0.06966615,-0.008806467,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.029773474,-0.043154955,-0.002092123,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.010597944,-0.017965555,0.008509636,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0010752678,0.0079135895,0.016733885,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.015625238,0.01535058,0.014734507,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.037588835,0.028080463,-0.0042979717,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.056916475,0.020732164,-0.030299425,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.060676336,0.002199173,-0.044779778,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.025437355,-0.03006792,-0.06546879,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.020446777,-0.075267315,-0.053717613,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.045745373,-0.095856905,-0.049529314,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.064122915,-0.12087083,-0.046329737,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07201028,-0.12918687,-0.04910493,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07898235,-0.14016938,-0.053478956,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07663798,-0.13935995,-0.045226097,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.079567194,-0.14012575,-0.04020953,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.09602642,-0.14882374,-0.039784193,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.12115526,-0.15838242,-0.01947856,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.022523642,-0.10866451,-0.037365675,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.3584025,-2.861023e-05,-0.13272071,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.1587871,0.5678849,-0.3722403,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.3509139,0.8021679,-0.48724055,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.4137652,0.53781295,0.08262944,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.1820662,0.14239717,0.1676879,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.24756026,-0.17807484,0.120298386,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.22026563,-0.19641471,0.0634706,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.1451633,-0.14745641,0.030576944,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.12079811,-0.10990858,0.0053982735,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.107212305,-0.103796005,0.008881569,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.11356473,-0.10331869,0.0065743923,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.10926843,-0.109341145,0.0071060658,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.10939145,-0.10897875,0.009598494,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.1199615,-0.106984854,0.0135324,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.11198211,-0.09982586,0.012921572,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.10731387,-0.09579873,0.014835358,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.095929384,-0.08158064,0.022358656,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.09260726,-0.071261644,0.028220415,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08512449,-0.06062007,0.026560307,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07436919,-0.043641567,0.03390193,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.051127672,-0.018336535,0.045409203,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.034783125,0.004424572,0.057467222,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.015502691,0.04419136,0.076848745,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0062201023,0.09145594,0.09670091,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.024599314,0.11772096,0.1212697,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.04106164,0.15415514,0.12809873,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050172567,0.17474389,0.11867571,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.056326628,0.1851809,0.12262988,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.055898666,0.17763066,0.1231153,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.061167,0.15835023,0.10127282,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.062316656,0.13889694,0.07435179,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.04735303,0.1046443,0.05046439,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.025817633,0.053890705,0.017166853,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.008012533,0.016012669,-0.007527113,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.024057865,-0.029234886,-0.016981602,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.03912306,-0.056458473,-0.022027254,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.036809683,-0.07028699,-0.02737236,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.031300783,-0.06966448,-0.03302431,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.03565049,-0.065071344,-0.024410486,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.04566312,-0.068323135,-0.017660856,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.060890675,-0.072762966,-0.012299299,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07609177,-0.084311485,-0.0069868565,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07872796,-0.07693529,-0.0020644665,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.074817896,-0.07068896,0.0032436848,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07484603,-0.0639739,0.009533167,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07792449,-0.061151028,0.01530695,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08505225,-0.06439257,0.015684843,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0810616,-0.0657866,0.014537573,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0755136,-0.06578159,0.007203579,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.060158968,-0.065146446,0.0033943653,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.05345702,-0.06553459,-0.0040180683,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.050465822,-0.06995511,-0.0065789223,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.05163884,-0.07208133,-0.016608477,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.05262685,-0.087017536,-0.02519679,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.053949594,-0.08425188,-0.015042305,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.05307412,-0.07974982,-0.015759468,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.053529024,-0.078406334,-0.017072916,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.05438447,-0.077298164,-0.014909506,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.051450253,-0.07824159,-0.020331144,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.04911971,-0.082216024,-0.030702114,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.04989457,-0.09016657,-0.035635233,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.05141282,-0.09272218,-0.03693986,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.05094552,-0.091406584,-0.033715248,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.052062035,-0.09359169,-0.03255129,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.051606417,-0.09084082,-0.029827833,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.053236723,-0.08905125,-0.03154397,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.052410364,-0.08182192,-0.019450665,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.049413204,-0.069738865,-0.012346268,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.03226304,-0.048773766,-0.0007402897,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.02068305,-0.019758463,0.006750822,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0035250187,0.0021166801,0.011740208,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.014598608,0.02263236,0.013649702,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.037453175,0.029221535,0.00496459,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.056112766,0.029709816,-0.019042253,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.059055567,0.024505615,-0.029509783,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.06321597,0.013864994,-0.04443121,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.05276227,-0.004569769,-0.053631067,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.009580374,-0.039351225,-0.044403315,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.020904064,-0.07079339,-0.0470047,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.045491457,-0.095844746,-0.045623064,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.06146741,-0.10385847,-0.04651332,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.060394526,-0.10529399,-0.044169188,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.069442034,-0.10991001,-0.04342389,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08075786,-0.11204696,-0.030323505,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.082401514,-0.10746217,-0.022029161,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.110286236,-0.124705076,-0.013555765,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.057347775,-0.09219599,-0.003907442,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.21695793,-0.0013005733,-0.11707139,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.035887,0.39069903,-0.3346386,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.2424259,0.78128815,-0.52025056,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.6742748,0.7049955,-0.16071749,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.037986755,0.28689146,0.1312697,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.20840311,-0.03394866,0.16884673,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.20745087,-0.15208006,0.057390213,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.13624454,-0.12800694,0.043175697,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.107521534,-0.09032035,0.025732517,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08450842,-0.08166218,0.012592554,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08429289,-0.080387115,0.005322695,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08434105,-0.07937431,0.0073223114,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.078599215,-0.073029995,0.007447481,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07042575,-0.06951785,0.005423069,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.054228067,-0.061493635,0.002511263,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.058790684,-0.056354046,0.00792098,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07242465,-0.051192045,0.01981783,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0663898,-0.042795658,0.034812212,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.05585122,-0.03342724,0.03557372,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.042129755,-0.02652955,0.029070377,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.01782608,0.0044441223,0.03914523,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.017714739,0.036325216,0.06794834,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.03568673,0.056355953,0.08515,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.006206274,0.07647872,0.1006062,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.023268223,0.11913419,0.11143613,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.05446267,0.15515125,0.11810684,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.07878995,0.19189143,0.11792421,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.09961629,0.19729447,0.10945463,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.107261896,0.19723558,0.10639024,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.10189819,0.1824112,0.09001136,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.10450554,0.16133475,0.06472564,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.07556462,0.12767315,0.03962636,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.054320097,0.09028697,0.01944995,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.016902924,0.029458523,0.0018036366,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.01001811,-0.00813818,-0.00768137,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.025192976,-0.03826046,-0.017635584,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.025176287,-0.05596423,-0.021926641,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.031999826,-0.06636572,-0.029638052,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.039436102,-0.07994866,-0.023090124,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.039663076,-0.07247949,-0.017932892,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.033179045,-0.06608534,-0.01770258,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.030068874,-0.056052923,-0.017847776,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.03015852,-0.047045708,-0.008285522,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.03628087,-0.045592785,-0.0018782616,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.043476105,-0.041950226,0.009260178,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.053162575,-0.039331198,0.018450499,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.06155038,-0.03701353,0.020655632,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07108331,-0.042717934,0.02305293,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.06864333,-0.0405128,0.032075167,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07748914,-0.05013275,0.02765584,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08730435,-0.07176542,0.025618315,nan,nan,nan,nan,nan,nan,nan,nan,nan
