I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.04484,0.096134,0.050152004,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.03184,0.085134,0.052152,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0018400005,0.053133998,0.049152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.03616,0.014133999,0.049152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.03516,0.014133999,0.046152003,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.03416,0.009133999,0.042152002,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.05716,-0.008866001,0.047152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.05716,-0.012866001,0.042152002,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.061160002,-0.018866,0.040152002,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.05316,0.028134,0.079152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.04016,0.065134004,0.103152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.01816,0.09213401,0.109152004,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.01616,0.101134,0.115152,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.015840001,0.125134,0.107152,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.10484,0.19913399,0.092152,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.06284,0.144134,0.079152,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.006840001,0.082134,0.073152006,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0061599994,0.071134,0.075152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.081159994,0.009133999,0.088152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.09716,-0.040866002,0.054152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.103159994,-0.062865995,0.038152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.11616,-0.062865995,0.051152002,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.13115999,-0.094866,0.034152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.16616,-0.106865995,0.057152003,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.13316,-0.103865996,0.027152002,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.19715999,-0.112866,0.082152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.19316,-0.107866,0.083152,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.04684,-0.114865996,-0.16384801,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.75484,-0.029866003,-0.786848,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.23884,-0.13286601,-1.3738481,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.50684,-0.400866,-0.909848,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.21016,-0.391866,-0.18384801,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.49216,-0.288866,0.202152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.66616,-0.251866,0.41215202,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.67116,-0.275866,0.393152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.72716,-0.358866,0.365152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.64016,-0.344866,0.293152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.37616,-0.179866,0.194152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.15816,-0.071866,0.083152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.11216,-0.060866002,0.050152004,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08616,-0.040866002,0.044152003,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.067159995,-0.036866,0.028152004,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.06016,-0.020866001,0.037152003,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.01016,0.017134,0.025152002,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0061599994,0.028134,0.031152003,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.03484,0.036134,-0.000847999,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.12584,0.060133997,-0.067848,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.14584,0.076134,-0.071848,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.19584,0.115134,-0.082848,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.25884,0.135134,-0.125848,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.29484,0.149134,-0.14784801,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.33784,0.188134,-0.152848,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.34884,0.226134,-0.123848,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.34084,0.24313399,-0.099847995,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.27484,0.214134,-0.062848,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.21784,0.201134,-0.018847998,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.16284001,0.16813399,0.0031520007,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.08084001,0.121134005,0.038152,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.03184,0.089134,0.054152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0121599985,0.040133998,0.050152004,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.03316,0.025133999,0.056152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.05516,0.013133999,0.066152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.04616,0.0061339997,0.049152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.03216,0.0061339997,0.036152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.04216,-0.0008660008,0.039152004,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.03816,0.0021339993,0.037152003,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.06016,-0.007866001,0.050152004,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.028160002,0.015133999,0.041152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.01616,0.045134,0.060152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.02016,0.078134,0.096152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.01016,0.091134004,0.099152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.009159999,0.096134,0.103152,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.07784,0.166134,0.086152,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.08484001,0.156134,0.069152005,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.05284,0.109134,0.054152,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.04184,0.074134,0.030152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.017159998,0.022133999,0.037152003,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.04216,-0.0068660006,0.033152003,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.074159995,-0.063866,0.009152001,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.103159994,-0.080865994,0.020152003,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08316,-0.072866,0.008152002,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.082159996,-0.060866002,0.020152003,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08016,-0.067866,0.010152002,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.13616,-0.088865995,0.045152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.15716,-0.081865996,0.072152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.01016,-0.112866,-0.105848,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.51184,-0.009866001,-0.523848,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.16984,-0.038866002,-1.2108481,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.75584,-0.359866,-1.1188481,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.063159995,-0.419866,-0.35884798,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.37816,-0.30486602,0.071152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.62716,-0.29086602,0.334152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.63816,-0.274866,0.36115202,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.63216,-0.32086602,0.30815202,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.63416,-0.342866,0.289152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.41316,-0.20686601,0.203152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.20515999,-0.074866,0.129152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.103159994,-0.024866002,0.076152004,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.06516,-0.016866,0.046152003,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.02516,0.0041339993,0.027152002,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0048400005,0.035134,0.028152004,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0038400006,0.031133998,0.025152002,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.00884,0.031133998,0.019152,nan,nan,nan,nan,nan,nan,nan,nan,nan
