I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.08338799,0.185487,-0.010928,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.088388,0.184487,-0.016928,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.093388,0.179487,-0.026928,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.051388003,0.175487,0.011072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.051388003,0.17348701,0.009071999,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.063388,0.18148701,0.0050719986,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.079388,0.17348701,-0.018928,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.041387998,0.15148701,-0.0019280007,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.023612,0.177487,0.088072,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.025612004,0.132487,0.045071997,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.40338796,0.43948698,-0.076928005,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.91538805,0.850487,-0.177928,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.635388,0.62048703,-0.126928,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.18138799,0.32848698,0.033072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.08238799,0.278487,0.083072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050388,0.211487,0.048072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.022387996,0.169487,0.035072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.03038799,0.180487,0.037072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.039387994,0.184487,0.032072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.027387999,0.172487,0.032072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.054387994,0.168487,7.199962e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.034388,0.158487,0.011072,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0026120022,0.146487,0.037072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.024388,0.172487,0.035072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.069387995,0.19548701,0.013072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.072388,0.190487,0.0050719986,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.066388,0.189487,0.010071999,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.080388,0.186487,-0.0059280004,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.035388,0.184487,0.036071997,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.036388002,0.194487,0.046072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.069387995,0.216487,0.034071997,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.07438799,0.226487,0.039072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.115388,0.257487,0.029071998,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.14438799,0.290487,0.032072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.176388,0.313487,0.024071999,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.20038798,0.343487,0.029071998,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.22538799,0.36348698,0.025071997,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.282388,0.424487,0.029071998,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.30738798,0.45548698,0.034071997,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.30238798,0.42148697,0.0060719987,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.278388,0.415487,0.024071999,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.23938799,0.38648698,0.034071997,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.18438798,0.318487,0.021072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.14038798,0.27748698,0.024071999,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.109388,0.234487,0.012072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.07438799,0.20348701,0.015072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.064388,0.175487,-0.0019280007,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.042388,0.157487,0.002071999,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.032387994,0.170487,0.025071997,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.011387996,0.141487,0.017072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0073879957,0.130487,0.010071999,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.04538799,0.148487,-0.009928001,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.013388,0.145487,0.019072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.00038799644,0.146487,0.034071997,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.017387994,0.146487,0.016071998,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0016120002,0.145487,0.034071997,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0046120062,0.147487,0.039072,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0096120015,0.135487,0.032072,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0006120056,0.147487,0.035072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.014387995,0.182487,0.055072002,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.011387996,0.177487,0.053071998,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.018387996,0.174487,0.043072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.014387995,0.168487,0.041072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.022387996,0.16648701,0.032072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.039387994,0.182487,0.030072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.011387996,0.143487,0.019072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.022387996,0.140487,0.0050719986,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.029388003,0.141487,-0.00092800055,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0046120062,0.115487,0.007071999,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.013388,0.146487,0.021072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.004387997,0.146487,0.029071998,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.026612006,0.128487,0.041072,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.007612005,0.128487,0.022071999,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.018387996,0.120487005,-0.010928,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.004387997,0.120487005,0.003072,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.022612005,0.113487005,0.024071999,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.017612003,0.111487,0.016071998,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.003387995,0.126487,0.009071999,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.012387998,0.127487,0.003072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0063879937,0.115487,-0.003928001,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.008387998,0.111487,-0.008928001,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0046120062,0.102487005,-0.0049280003,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.020612001,0.099487,0.0060719987,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.013612002,0.127487,0.028072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.009388,0.177487,0.056071997,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.00038799644,0.163487,0.051072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.008387998,0.139487,0.018071998,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.07538799,0.215487,0.027071998,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.066388,0.208487,0.030072,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.069387995,0.152487,-0.029928003,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.065388,0.140487,-0.037928,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0046120062,0.092487,-0.014928001,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.014612004,0.083487004,-0.014928001,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0096120015,0.076487005,-0.026928,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.017612003,0.078487,-0.017928,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.034612,0.070487,-0.007928001,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.060612004,0.069487005,0.017072,nan,nan,nan,nan,nan,nan,nan,nan,nan
